National Park,Location,Region,Year Est. as a NP,Visitors in January,Visitors in February,Visitors in March,Visitors in April,Visitors in May,Visitors in June,Visitors in July,Visitors in August,Visitors in September,Visitors in October,Visitors in November,Visitors in December ,Total Visitors in 2022,Hiking Trails,Acreage 
Denali,Alaska,Northwest,1917,403,952,2073,4237,37305,104177,115369,112709,43372,3191,1978,1796,427562,27,6000000
Gates of the Artic,Alaska,Northwest,1980,0,0,0,0,338,2214,2615,3125,1165,0,0,0,9457,0,7523897
Glacier Bay,Alaska,Northwest,1980,172,22,272,3813,64956,90985,98596,103196,80309,102993,222,222,545758,8,3300000
Katmai,Alaska,Northwest,1918,20,0,20,20,144,5089,12600,9991,5734,250,20,20,33908,6,3674529
Kenai Fjords,Alaska,Northwest,1980,22,43,78,429,31503,101386,116723,92850,40343,6496,,,389873,4,669982
Kobuk Valley,Alaska,Northwest,1980,1098,695,819,880,925,1552,1915,2041,1650,2049,1596,1705,16925,0,1750716
Lake Clark,Alaska,Northwest,1980,0,6,8,26,788,4461,5650,4975,1986,287,0,0,18187,7,2619733
Wrangell-St. Elias,Alaska,Northwest,1980,25,95,230,520,4909,16590,20054,16829,5359,530,60,35,65236,16,13200000
Grand Canyon,Arizona,Southwest,1919,180094,191984,392273,438576,496238,510239,543760,500265,439611,442697,323112,273252,4732101,113,1217403
Petrified Forest,Arizona,Southwest,1962,26566,24899,45044,47081,62478,60812,54185,41193,36416,51738,28002,26795,505209,12,221390
Saguaro,Arizona,Southwest,1994,100022,114193,132467,109500,65538,37836,37458,38698,37091,63252,86306,85833,908194,68,91439
Hot Springs,Arkansas,South ,1921,152015,240294,286198,290655,219394,314623,224339,121300,112049,231618,251837,201811,2646133,19,5549
Channel Islands,California,West,1980,16968,21175,25048,30769,23636,30138,37853,33844,31120,27647,27468,17579,323245,30,249561
Death Valley,California,West,1994,92212,124091,182052,108984,92601,84768,84575,48242,54672,53764,93445,109456,1128862,76,3400000
Joshua Tree,California,West,1994,277128,302834,431849,358701,228627,159177,149070,135137,150533,222629,316911,325698,3058294,122,795200
Kings Canyon,California,West,1940,21971,14419,19744,36642,79247,94402,120676,89257,81801,53287,18222,11318,640986,50,461901
Lassen Volcanic,California,West,1916,9894,8184,7764,13539,21836,70558,110025,94788,53204,41193,9063,6243,446291,67,106372
Pinnacles,California,West,2013,27724,30673,34712,23642,27948,22256,19551,19330,13898,17184,21697,16408,275023,31,16048
Redwood,California,West,1968,20630,20202,27390,34053,44887,59736,68544,60003,49954,38004,19904,15093,458400,25,138999
Sequoia,California,West,1890,32564,39182,58365,86412,121934,135869,188020,170284,127041,96663,55800,41064,1153198,107,404063
Yosemite,California,West,1890,137057,170196,192634,285601,380905,470045,396833,518407,424374,381612,178786,131100,3667550,259,759620
Black Canyon of  the Gunnison,Colorado,Southwest,1933,7260,6088,9127,13755,30145,31658,50608,50031,42758,23413,17257,15157,297257,25,30
Great Sand Dunes,Colorado,Southwest,1932,6013,8459,27374,30117,70542,87842,85479,64944,51502,40677,13024,7455,493428,17,42983
Mesa Verde,Colorado,Southwest,1906,7852,6787,18916,30910,55705,88958,85449,69176,63074,49242,14980,8741,499790,16,52121
Rocky Mountain,Colorado,Southwest,1915,130331,101109,145752,153666,286464,627860,811861,665531,659863,474957,131655,120375,4309424,222,265807
Biscayne,Florida,Southeast,1980,55096,62829,64243,63574,70048,54233,68066,52652,45857,44757,54538,65130,701023,3,172971
Dry Tortugas,Florida,Southeast,1935,6633,6220,7528,7562,7951,7460,6849,6725,5357,3603,5630,6970,78488,2,64701
Everglades,Florida,Southeast,1947,139538,156859,136512,132171,91086,85214,80773,86642,61057,44197,64825,76319,1155193,11,1508537
Haleakala,Hawaii,Tropics,1961,71681,68985,83897,89299,93713,97394,104084,106137,95674,96761,82116,97875,1087616,18,29093
Hawaii Volcanoes,Hawaii,Tropics,1916,131878,124763,125348,117463,126309,140532,157966,147497,118565,121585,133092,135963,1580961,39,323431
Indiana Dunes,Indiania,Central,2019,71633,74372,127431,141437,234403,438727,575495,470160,271515,232067,108278,88662,2834180,18,15000
Mammoth Cave,Kentucky,Central,1941,15564,21387,58904,71387,64440,87578,99118,66598,67712,62095,29340,19024,663147,27,52830
